word,rarity,reason
Higgs,4,capitalized-only-without-lowercase-source
Hindi,4,capitalized-only-without-lowercase-source
Hindu,4,capitalized-only-without-lowercase-source
Hmong,4,capitalized-only-without-lowercase-source
Hymie,4,capitalized-only-without-lowercase-source
hymne,4,obsolete-or-invalid-form
Ibada,4,capitalized-only-without-lowercase-source
iBook,4,capitalized-only-without-lowercase-source
Idaho,4,capitalized-only-without-lowercase-source
InChI,4,capitalized-only-without-lowercase-source
Inuit,4,capitalized-only-without-lowercase-source
Ionic,4,duplicate-after-lowercasing
Iraqi,4,capitalized-only-without-lowercase-source
Irish,4,capitalized-only-without-lowercase-source
Jacky,4,capitalized-only-without-lowercase-source
Jacob,4,capitalized-only-without-lowercase-source
Jaffa,4,duplicate-after-lowercasing
Jenny,4,duplicate-after-lowercasing
Jerez,4,capitalized-only-without-lowercase-source
Jerry,4,capitalized-only-without-lowercase-source
Jesse,4,capitalized-only-without-lowercase-source
Jesus,4,capitalized-only-without-lowercase-source
Jewry,4,capitalized-only-without-lowercase-source
