word,rarity,reason
ayme,4,outside-filtered-American-60-80
ayo,4,outside-filtered-American-60-80
ayond,4,outside-filtered-American-60-80
ayont,4,outside-filtered-American-60-80
azalai,4,outside-filtered-American-60-80
azan,4,larger-level-not-approved
azarole,4,outside-filtered-American-60-80
azbuka,4,outside-filtered-American-60-80
azoic,4,larger-level-not-approved
azonic,4,larger-level-not-approved
azote,4,larger-level-not-approved
azoth,4,larger-level-not-approved
azotic,4,larger-level-not-approved
azotite,4,outside-filtered-American-60-80
azotize,4,larger-level-not-approved
azotous,4,outside-filtered-American-60-80
azured,4,outside-filtered-American-60-80
azurine,4,outside-filtered-American-60-80
azurite,4,larger-level-not-approved
azyme,4,outside-filtered-American-60-80
azymic,4,outside-filtered-American-60-80
azymite,4,outside-filtered-American-60-80
azymous,4,outside-filtered-American-60-80
bab,4,outside-filtered-American-60-80
babery,4,outside-filtered-American-60-80
babish,4,outside-filtered-American-60-80
babka,4,larger-level-not-approved
bablah,4,outside-filtered-American-60-80
babu,4,larger-level-not-approved
babul,4,larger-level-not-approved
babygro,4,outside-filtered-American-60-80
babyism,4,outside-filtered-American-60-80
bac,4,outside-filtered-American-60-80
bacalao,4,larger-level-not-approved
baccara,4,larger-level-not-approved
bach,3,larger-level-not-approved
bache,4,outside-filtered-American-60-80
bacinet,4,outside-filtered-American-60-80
backlot,4,larger-level-not-approved
backy,4,outside-filtered-American-60-80
baculum,4,larger-level-not-approved
badam,4,outside-filtered-American-60-80
bade,4,larger-level-not-approved
badian,4,outside-filtered-American-60-80
badmash,4,larger-level-not-approved
baffie,4,outside-filtered-American-60-80
baggala,4,outside-filtered-American-60-80
bagi,4,outside-filtered-American-60-80
baglo,4,outside-filtered-American-60-80
bagman,4,larger-level-not-approved
bagsy,4,outside-filtered-American-60-80
bagwash,4,outside-filtered-American-60-80
bai,4,outside-filtered-American-60-80
baile,4,outside-filtered-American-60-80
baju,4,outside-filtered-American-60-80
baka,4,outside-filtered-American-60-80
bal,4,larger-level-not-approved
balase,4,outside-filtered-American-60-80
baldare,4,outside-filtered-American-60-80
balian,4,outside-filtered-American-60-80
balrog,4,outside-filtered-American-60-80
bals,4,larger-level-not-approved
baluba,4,outside-filtered-American-60-80
bam,1,larger-level-not-approved
bambino,4,larger-level-not-approved
bambou,4,outside-filtered-American-60-80
bampot,4,outside-filtered-American-60-80
banc,4,larger-level-not-approved
banca,4,outside-filtered-American-60-80
banco,4,larger-level-not-approved
banda,3,larger-level-not-approved
bandana,3,outside-filtered-American-60-80
bandar,4,outside-filtered-American-60-80
bander,4,larger-level-not-approved
bando,4,outside-filtered-American-60-80
bandog,4,larger-level-not-approved
bangun,4,outside-filtered-American-60-80
banjax,4,larger-level-not-approved
banjoes,4,outside-filtered-American-60-80
baon,4,outside-filtered-American-60-80
bara,4,outside-filtered-American-60-80
barakah,4,outside-filtered-American-60-80
baramin,4,outside-filtered-American-60-80
barbara,2,outside-filtered-American-60-80
barded,4,larger-level-not-approved
bargee,4,larger-level-not-approved
bari,3,outside-filtered-American-60-80
barm,4,larger-level-not-approved
barnet,4,larger-level-not-approved
barque,4,outside-filtered-American-60-80
barra,4,larger-level-not-approved
barry,2,outside-filtered-American-60-80
baru,4,outside-filtered-American-60-80
bas,4,outside-filtered-American-60-80
basa,4,outside-filtered-American-60-80
bashaw,4,larger-level-not-approved
basilic,4,larger-level-not-approved
basonym,4,outside-filtered-American-60-80
basto,4,outside-filtered-American-60-80
bateau,4,larger-level-not-approved
bati,4,outside-filtered-American-60-80
batis,4,outside-filtered-American-60-80
batshit,4,outside-filtered-American-60-80
batt,4,larger-level-not-approved
batu,4,outside-filtered-American-60-80
bawcock,4,larger-level-not-approved
baz,4,outside-filtered-American-60-80
bazil,4,outside-filtered-American-60-80
beag,4,outside-filtered-American-60-80
beamer,4,outside-filtered-American-60-80
bearhug,4,outside-filtered-American-60-80
beaux,3,outside-filtered-American-60-80
becket,3,larger-level-not-approved
becue,4,outside-filtered-American-60-80
bedfast,4,larger-level-not-approved
bedo,4,outside-filtered-American-60-80
bedouin,3,larger-level-not-approved
beefalo,4,larger-level-not-approved
beezer,4,larger-level-not-approved
begrip,4,outside-filtered-American-60-80
behove,4,outside-filtered-American-60-80
bein,4,outside-filtered-American-60-80
bel,3,larger-level-not-approved
beli,4,outside-filtered-American-60-80
bello,4,outside-filtered-American-60-80
bema,4,larger-level-not-approved
ben,2,larger-level-not-approved
bene,4,larger-level-not-approved
benison,4,larger-level-not-approved
benny,3,larger-level-not-approved
benzoic,4,larger-level-not-approved
benzoin,4,larger-level-not-approved
benzol,4,larger-level-not-approved
benzoyl,4,larger-level-not-approved
benzule,4,outside-filtered-American-60-80
bepaint,4,larger-level-not-approved
bepelt,4,outside-filtered-American-60-80
bepinch,4,outside-filtered-American-60-80
beprose,4,outside-filtered-American-60-80
ber,4,outside-filtered-American-60-80
bere,4,outside-filtered-American-60-80
bergen,4,outside-filtered-American-60-80
bes,3,larger-level-not-approved
bestest,4,outside-filtered-American-60-80
beth,3,larger-level-not-approved
betony,4,larger-level-not-approved
betted,4,outside-filtered-American-60-80
